"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72219013874","2020-05-10T08:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.26","35","57","0.00",,,,"44","30.26","SCT:04 250","29.15","10.00","47","040",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 08:52:02 METAR KATL 101352Z 04003KT 10SM SCT250 14/02 A3026 RMK AO2 SLP248 T01390017 (KM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T09:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.26","36","61","0.00",,"-0.01","0","39","30.26","SCT:04 250","29.15","10.00","49","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10405/10/20 09:52:02 METAR KATL 101452Z 00000KT 10SM SCT250 16/02 A3026 RMK AO2 SLP246 T01610022 50005 (KM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T10:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","37","65","0.00",,,,"36","30.24","FEW:02 250","29.14","10.00","51","VRB",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 10:52:02 METAR KATL 101552Z VRB03KT 10SM FEW250 18/03 A3024 RMK AO2 SLP240 T01830028 (KM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T11:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","37","68","0.00",,,,"32","30.22","FEW:02 250","29.12","10.00","52","230",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 11:52:02 METAR KATL 101652Z 23007KT 10SM FEW250 20/03 A3022 RMK AO2 SLP232 T02000028 (KM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T12:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20","39","71","0.00",,"+0.06","8","31","30.19","CLR:00","29.10","10.00","54","280",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11305/10/20 12:52:02 METAR KATL 101752Z 28007KT 10SM CLR 22/04 A3020 RMK AO2 SLP223 T02170039 10217 20083 58020 (KM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T13:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39","71",,,"+0.06","8","31","30.19",,"29.09","9.94","54","280",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072219 32966 02807 10217 20039 39851 40223 58020 91752 333 10217 20083 555 91018=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T13:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.17","39","73","0.00",,,,"29","30.16","CLR:00","29.07","10.00","55","280",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09505/10/20 13:52:02 METAR KATL 101852Z 28008KT 10SM CLR 23/04 A3017 RMK AO2 SLP214 T02280039 (KM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T14:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.15","37","71","0.00",,,,"29","30.15","CLR:00","29.05","10.00","54","VRB",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09505/10/20 14:52:02 METAR KATL 101952Z VRB04KT 10SM CLR 22/03 A3015 RMK AO2 SLP209 T02170028 (KM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T15:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.13","37","74","0.00",,"+0.06","6","26","30.12","CLR:00","29.03","10.00","55","300",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10105/10/20 15:52:02 METAR KATL 102052Z 30008KT 10SM CLR 23/03 A3013 RMK AO2 SLP201 T02330028 56021 (KM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T16:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.12","36","73","0.00",,,,"26","30.11","CLR:00","29.02","10.00","54","250","18","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09905/10/20 16:52:02 METAR KATL 102152Z 25006G16KT 10SM CLR 23/02 A3012 RMK AO2 SLP198 T02280022 (CPS)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
